"cap";"categoria";"clifor";"cod_agente";"conto";"es_iva";"listino";"localita";"mastro";"natura";"pagamento";"pr";"rag_sociale1";"sconto";"spese";"tipo_fatturaz";"zona"
"52100";"";"F";"0";"223";"0";"";"AREZZO";"40";"1";"RD3";"AR";"INNOCENTI DINO SRL";"0";"1";"N";""
"52100";"";"F";"0";"255";"0";"";"AREZZO";"40";"1";"R3S";"AR";"TEMACO DIVISIONE COSTANTER SPA";"0";"1";"N";""
"52100";"";"F";"0";"264";"0";"";"AREZZO";"40";"1";"RD3";"AR";"FRATELLI PRATESI SNC";"0";"1";"N";""
"52100";"";"F";"0";"273";"0";"";"AREZZO";"40";"1";"R.D";"AR";"GIUSTINIANI SRL";"0";"1";"N";""
"52100";"";"F";"0";"276";"0";"";"AREZZO";"40";"1";"RD3";"AR";"BI-EFFE SERVIZI DI MENCHINI";"0";"1";"N";""
"52100";"";"F";"0";"294";"0";"";"AREZZO";"40";"9";"RD3";"AR";"ASSOCIAZIONE INDUSTRIALI DI";"0";"1";"N";""
"52100";"";"F";"0";"30";"0";"";"AREZZO";"40";"1";"RD3";"AR";"D.I.P.A. SNC DI";"0";"1";"N";""
"52100";"";"F";"0";"346";"0";"";"AREZZO";"40";"1";"R3D";"AR";"CENTRO SERRAMENTI 2000 SNC";"0";"1";"N";""
"52100";"";"F";"0";"358";"0";"";"AREZZO";"40";"1";"RD6";"AR";"NATURBOSCO SNC";"0";"1";"N";""
"52100";"";"F";"0";"36";"0";"";"AREZZO";"40";"1";"";"AR";"CADLA S.p.a.";"0";"1";"N";""
"52100";"";"F";"0";"372";"0";"";"AREZZO";"40";"1";"RD3";"AR";"FLEX LINE SRL";"0";"1";"N";""
