"cap";"categoria";"clifor";"cod_agente";"conto";"es_iva";"listino";"localita";"mastro";"natura";"pagamento";"pr";"rag_sociale1";"sconto";"spese";"tipo_fatturaz";"zona"
"52011";"";"F";"0";"257";"0";"";"SOCI";"40";"2";"R.D";"AR";"LA BUCA DI NARDINI DOMENICO";"0";"1";"N";""
"52011";"";"F";"0";"335";"0";"";"SOCI-BIBBIENA";"40";"2";"RD3";"AR";"PAOLI AGRICOLTURA DI RENZETTI";"0";"1";"N";""
"52011";"";"F";"0";"375";"0";"";"BIBBIENA";"40";"1";"RD3";"AR";"M.G.DI MAGRINI GIUSEPPE SRL";"0";"1";"N";""
"52011";"";"F";"0";"396";"0";"";"BIBBIENA";"40";"1";"RD3";"AR";"EMPORIO AGRARIO SRL";"0";"1";"N";""
"52011";"";"F";"0";"406";"0";"";"BIBBIENA";"40";"1";"R.D";"AR";"TECNORICAMBI CASENTINO SRL";"0";"1";"N";""
"52011";"";"F";"0";"432";"0";"";"BIBBIENA";"40";"1";"RD3";"AR";"BERE E' SNC DI TIZZANINI S.E";"0";"1";"N";""
"52011";"";"F";"0";"505";"0";"";"BIBBIENA";"40";"1";"R.D";"AR";"EASYTRADING SRL";"0";"1";"N";""
"52011";"";"F";"0";"514";"0";"";"BIBBIENA";"40";"1";"R.D";"AR";"SCART IMBALLAGGI SRL";"0";"1";"N";""
"52011";"";"F";"0";"552";"0";"";"BIBBIENA";"40";"1";"RB3";"AR";"XXL SERVICE SRL";"0";"1";"N";""
"52011";"";"F";"0";"568";"0";"";"BIBBIENA";"40";"1";"RD3";"AR";"SBARBERI DI SBARBERI CARLO e";"0";"1";"N";""
"52011";"";"F";"0";"569";"0";"";"BIBBIENA";"40";"1";"RD3";"AR";"METI SNC DI ROSAI C.& C.";"0";"1";"N";""
"52011";"";"F";"0";"58";"0";"";"BIBBIENA";"40";"2";"R.D";"AR";"FORESTERIA CASENTINESE DI";"0";"1";"N";""
"52011";"";"F";"0";"59";"0";"";"BIBBIENA";"40";"1";"R.D";"AR";"TELEFONISSIMO SAS DI BARTOLINI";"0";"1";"N";""
"52011";"";"F";"0";"97";"0";"";"BIBBIENA";"40";"2";"3RD";"AR";"J.L. DI BARTOLOZZI DANIELE";"0";"1";"N";""
